f,d,h1,h2,TM,,,,,,,,,,,
0.6,367.3089,701.542,70.4817,0.832781401,,,,,,,,,,,
0.6,367.3089,701.542,83.0101,0.820524834,,,,,,,,,,,
0.6,367.3089,701.542,97.452,0.814901342,,,,,,,,,,,
0.6,367.3089,701.542,104.1585,0.815977672,,,,,,,,,,,
0.6,367.3089,701.542,107.597,0.817442259,,,,,,,,,,,
0.6,367.3089,701.542,154.9268,0.869297682,,,,,,,,,,,
0.6,367.3089,701.542,160.9761,0.873785669,,,,,,,,,,,
0.6,367.3089,701.542,194.0026,0.862151053,,,,,,,,,,,
0.6,367.3089,701.542,199.4684,0.85550365,,,,,,,,,,,
0.6,367.3089,701.542,199.9801,0.854843738,,,,,,,,,,,
0.6,367.3089,704.0717,70.4817,0.833493256,,,,,,,,,,,
0.6,367.3089,704.0717,83.0101,0.820947897,,,,,,,,,,,
0.6,367.3089,704.0717,97.452,0.815530436,,,,,,,,,,,
0.6,367.3089,704.0717,104.1585,0.81686815,,,,,,,,,,,
0.6,367.3089,704.0717,107.597,0.81852217,,,,,,,,,,,
0.6,367.3089,704.0717,154.9268,0.873164254,,,,,,,,,,,
0.6,367.3089,704.0717,160.9761,0.877688862,,,,,,,,,,,
0.6,367.3089,704.0717,194.0026,0.864334566,,,,,,,,,,,
0.6,367.3089,704.0717,199.4684,0.857251577,,,,,,,,,,,
0.6,367.3089,704.0717,199.9801,0.856560352,,,,,,,,,,,
0.6,367.3089,709.8536,70.4817,0.834570445,,,,,,,,,,,
0.6,367.3089,709.8536,83.0101,0.821680268,,,,,,,,,,,
0.6,367.3089,709.8536,97.452,0.817021204,,,,,,,,,,,
0.6,367.3089,709.8536,104.1585,0.819075042,,,,,,,,,,,
0.6,367.3089,709.8536,107.597,0.821169928,,,,,,,,,,,
0.6,367.3089,709.8536,154.9268,0.881692266,,,,,,,,,,,
0.6,367.3089,709.8536,160.9761,0.886208083,,,,,,,,,,,
0.6,367.3089,709.8536,194.0026,0.868425293,,,,,,,,,,,
0.6,367.3089,709.8536,199.4684,0.860409266,,,,,,,,,,,
0.6,367.3089,709.8536,199.9801,0.859645802,,,,,,,,,,,
0.6,367.3089,712.8955,70.4817,0.834920546,,,,,,,,,,,
0.6,367.3089,712.8955,83.0101,0.821994455,,,,,,,,,,,
0.6,367.3089,712.8955,97.452,0.817874278,,,,,,,,,,,
0.6,367.3089,712.8955,104.1585,0.820355513,,,,,,,,,,,
0.6,367.3089,712.8955,107.597,0.822692673,,,,,,,,,,,
0.6,367.3089,712.8955,154.9268,0.886006286,,,,,,,,,,,
0.6,367.3089,712.8955,160.9761,0.890391425,,,,,,,,,,,
0.6,367.3089,712.8955,194.0026,0.870110599,,,,,,,,,,,
0.6,367.3089,712.8955,199.4684,0.861658464,,,,,,,,,,,
0.6,367.3089,712.8955,199.9801,0.860845725,,,,,,,,,,,
0.6,367.3089,721.9523,70.4817,0.835393907,,,,,,,,,,,
0.6,367.3089,721.9523,83.0101,0.822922869,,,,,,,,,,,
0.6,367.3089,721.9523,97.452,0.820943453,,,,,,,,,,,
0.6,367.3089,721.9523,104.1585,0.824841064,,,,,,,,,,,
0.6,367.3089,721.9523,107.597,0.827939685,,,,,,,,,,,
0.6,367.3089,721.9523,154.9268,0.897837916,,,,,,,,,,,
0.6,367.3089,721.9523,160.9761,0.901543584,,,,,,,,,,,
0.6,367.3089,721.9523,194.0026,0.873505164,,,,,,,,,,,
0.6,367.3089,721.9523,199.4684,0.863944589,,,,,,,,,,,
0.6,367.3089,721.9523,199.9801,0.863040715,,,,,,,,,,,
0.6,367.3089,752.8339,70.4817,0.838904285,,,,,,,,,,,
0.6,367.3089,752.8339,83.0101,0.833010329,,,,,,,,,,,
0.6,367.3089,752.8339,97.452,0.840962948,,,,,,,,,,,
0.6,367.3089,752.8339,104.1585,0.849514199,,,,,,,,,,,
0.6,367.3089,752.8339,107.597,0.854841548,,,,,,,,,,,
0.6,367.3089,752.8339,154.9268,0.923622343,,,,,,,,,,,
0.6,367.3089,752.8339,160.9761,0.922900817,,,,,,,,,,,
0.6,367.3089,752.8339,194.0026,0.875107131,,,,,,,,,,,
0.6,367.3089,752.8339,199.4684,0.864721831,,,,,,,,,,,
0.6,367.3089,752.8339,199.9801,0.86377604,,,,,,,,,,,
0.6,367.3089,768.0343,70.4817,0.846552243,,,,,,,,,,,
0.6,367.3089,768.0343,83.0101,0.844947525,,,,,,,,,,,
0.6,367.3089,768.0343,97.452,0.85681294,,,,,,,,,,,
0.6,367.3089,768.0343,104.1585,0.866309686,,,,,,,,,,,
0.6,367.3089,768.0343,107.597,0.871857598,,,,,,,,,,,
