f,d,h1,h2,T(1)
0.444,384.0135,615.194,154.9268,0.756712572
0.444,384.0135,615.194,160.9761,0.713074122
0.444,384.0135,615.194,194.0026,0.598984259
0.444,384.0135,615.194,199.4684,0.60212306
0.444,384.0135,615.194,199.9801,0.602738181
0.444,384.0135,660.2346,70.4817,0.842080052
0.444,384.0135,660.2346,83.0101,0.852251363
0.444,384.0135,660.2346,97.452,0.833794836
0.444,384.0135,660.2346,104.1585,0.817199624
0.444,384.0135,660.2346,107.597,0.807305178
0.444,384.0135,660.2346,154.9268,0.685154014
0.444,384.0135,660.2346,160.9761,0.684967575
0.444,384.0135,660.2346,194.0026,0.769727851
0.444,384.0135,660.2346,199.4684,0.791292509
0.444,384.0135,660.2346,199.9801,0.793260267
0.444,384.0135,662.768,70.4817,0.843215929
0.444,384.0135,662.768,83.0101,0.845434373
0.444,384.0135,662.768,97.452,0.821812727
0.444,384.0135,662.768,104.1585,0.804618158
0.444,384.0135,662.768,107.597,0.794828888
0.444,384.0135,662.768,154.9268,0.689208716
0.444,384.0135,662.768,160.9761,0.691473809
0.444,384.0135,662.768,194.0026,0.782018289
0.444,384.0135,662.768,199.4684,0.802030058
0.444,384.0135,662.768,199.9801,0.803796786
0.444,384.0135,668.5187,70.4817,0.839165718
0.444,384.0135,668.5187,83.0101,0.82555464
0.444,384.0135,668.5187,97.452,0.793821036
0.444,384.0135,668.5187,104.1585,0.776637416
0.444,384.0135,668.5187,107.597,0.767661621
0.444,384.0135,668.5187,154.9268,0.701492192
0.444,384.0135,668.5187,160.9761,0.709145649
0.444,384.0135,668.5187,194.0026,0.807025106
0.444,384.0135,668.5187,199.4684,0.821948972
0.444,384.0135,668.5187,199.9801,0.823153614
0.444,384.0135,684.3943,70.4817,0.789971607
0.444,384.0135,684.3943,83.0101,0.75361778
0.444,384.0135,684.3943,97.452,0.720820583
0.444,384.0135,684.3943,104.1585,0.710348976
0.444,384.0135,684.3943,107.597,0.706309017
0.444,384.0135,684.3943,154.9268,0.754885499
0.444,384.0135,684.3943,160.9761,0.774224747
0.444,384.0135,684.3943,194.0026,0.840021745
0.444,384.0135,684.3943,199.4684,0.833921845
0.444,384.0135,684.3943,199.9801,0.833098505
