lambda (nm),n,alpha (deg),f,TE
1300,1.3,34,0.32,0.782264107
1300,1.3,34,0.34,0.778385486
1300,1.3,34,0.36,0.786319387
1300,1.3,34,0.38,0.80474948
1300,1.3,34,0.4,0.83072584
1300,1.3,34,0.42,0.859869022
1300,1.3,34,0.44,0.88684041
1300,1.3,34,0.46,0.906541982
1300,1.3,34,0.48,0.915928116
1300,1.3,34,0.5,0.914500877
1300,1.3,36,0.3,0.745334783
1300,1.3,36,0.32,0.731951623
1300,1.3,36,0.34,0.730404479
1300,1.3,36,0.36,0.740751064
1300,1.3,36,0.38,0.761482228
1300,1.3,36,0.4,0.789315273
1300,1.3,36,0.42,0.819337854
1300,1.3,36,0.44,0.845663251
1300,1.3,36,0.46,0.862884234
1300,1.3,36,0.48,0.868195983
1300,1.3,36,0.5,0.861812728
1300,1.3,38,0.3,0.668253779
1300,1.3,38,0.32,0.658205249
1300,1.3,38,0.34,0.661267558
1300,1.3,38,0.36,0.676741824
1300,1.3,38,0.38,0.70128467
1300,1.3,38,0.4,0.727933836
1300,1.3,38,0.42,0.746492663
1300,1.3,38,0.44,0.746501681
1300,1.3,38,0.46,0.721990427
1300,1.3,38,0.48,0.674555427
1300,1.3,38,0.5,0.610782295
1300,1.3,40,0.3,0.599436272
1300,1.3,40,0.32,0.587802916
1300,1.3,40,0.34,0.587458303
1300,1.3,40,0.36,0.598660686
1300,1.3,40,0.38,0.620527145
1300,1.3,40,0.4,0.650803923
1300,1.3,40,0.42,0.685614678
1300,1.3,40,0.44,0.719744673
1300,1.3,40,0.46,0.747441295
1300,1.3,40,0.48,0.764438402
1300,1.3,40,0.5,0.768955388
1300,1.3,42,0.3,0.509964854
1300,1.3,42,0.32,0.500510284
1300,1.3,42,0.34,0.503095173
1300,1.3,42,0.36,0.518069483
1300,1.3,42,0.38,0.544501142
1300,1.3,42,0.4,0.579562725
1300,1.3,42,0.42,0.617861446
1300,1.3,42,0.44,0.651800554
1300,1.3,42,0.46,0.673286326
