lambda,n,angle,h,TM
1300,1.3,64,4000,0.068266181
1300,1.3,66,2000,0.020929309
1300,1.3,66,2200,0.025482755
1300,1.3,66,2400,0.030456272
1300,1.3,66,2600,0.035600857
1300,1.3,66,2800,0.040639369
1300,1.3,66,3000,0.045498456
1300,1.3,66,3200,0.050101859
1300,1.3,66,3400,0.054092558
1300,1.3,66,3600,0.057220663
1300,1.3,66,3800,0.059439694
1300,1.3,66,4000,0.060729495
1300,1.3,68,2000,0.020402855
1300,1.3,68,2200,0.024897287
1300,1.3,68,2400,0.02975098
1300,1.3,68,2600,0.034682131
1300,1.3,68,2800,0.039355182
1300,1.3,68,3000,0.043653213
1300,1.3,68,3200,0.047500249
1300,1.3,68,3400,0.050544192
1300,1.3,68,3600,0.052517244
1300,1.3,68,3800,0.053366264
1300,1.3,68,4000,0.053149276
1300,1.3,70,2000,0.019938181
1300,1.3,70,2200,0.024377937
1300,1.3,70,2400,0.029105108
1300,1.3,70,2600,0.033805501
1300,1.3,70,2800,0.038084887
1300,1.3,70,3000,0.041783235
1300,1.3,70,3200,0.044833424
1300,1.3,70,3400,0.046915863
1300,1.3,70,3600,0.047772536
1300,1.3,70,3800,0.047354489
1300,1.3,70,4000,0.04580691
1300,1.4,50,2000,0.075771695
1300,1.4,50,2200,0.091347735
1300,1.4,50,2400,0.108046707
1300,1.4,50,2600,0.125619645
1300,1.4,50,2800,0.144480322
1300,1.4,50,3000,0.1646526
1300,1.4,50,3200,0.18561678
1300,1.4,50,3400,0.207326697
1300,1.4,50,3600,0.230134011
1300,1.4,50,3800,0.253750577
1300,1.4,50,4000,0.277863787
1300,1.4,52,2000,0.074840058
1300,1.4,52,2200,0.090159214
1300,1.4,52,2400,0.106634681
1300,1.4,52,2600,0.123938781
1300,1.4,52,2800,0.142426011
1300,1.4,52,3000,0.162182095
1300,1.4,52,3200,0.182706235
1300,1.4,52,3400,0.203878793
1300,1.4,52,3600,0.2259987
1300,1.4,52,3800,0.248839644
1300,1.4,52,4000,0.272064538
1300,1.4,54,2000,0.07362989
1300,1.4,54,2200,0.088627953
1300,1.4,54,2400,0.104799164
1300,1.4,54,2600,0.121740644
1300,1.4,54,2800,0.139744219
1300,1.4,54,3000,0.158927734
1300,1.4,54,3200,0.178795731
1300,1.4,54,3400,0.199179469
1300,1.4,54,3600,0.220303102
1300,1.4,54,3800,0.241943096
1300,1.4,54,4000,0.263736909
1300,1.4,56,2000,0.072214183
1300,1.4,56,2200,0.086849176
1300,1.4,56,2400,0.102649981
1300,1.4,56,2600,0.119147989
1300,1.4,56,2800,0.136574438
1300,1.4,56,3000,0.155039419
1300,1.4,56,3200,0.174026116
1300,1.4,56,3400,0.193342697
1300,1.4,56,3600,0.213136949
1300,1.4,56,3800,0.233118497
1300,1.4,56,4000,0.252872264
1300,1.4,58,2000,0.070660681
1300,1.4,58,2200,0.084911738
1300,1.4,58,2400,0.100291431
1300,1.4,58,2600,0.116274599
1300,1.4,58,2800,0.133040595
1300,1.4,58,3000,0.150654082
1300,1.4,58,3200,0.168537447
1300,1.4,58,3400,0.186489866
1300,1.4,58,3600,0.204609171
1300,1.4,58,3800,0.222488949
1300,1.4,58,4000,0.239607613
1300,1.4,60,2000,0.069028937
1300,1.4,60,2200,0.082893477
1300,1.4,60,2400,0.09781685
1300,1.4,60,2600,0.113220898
1300,1.4,60,2800,0.129247032
1300,1.4,60,3000,0.145890463
