lambda,n,angle,h,TE
1300,1.3,70,2800,0.195875107
1300,1.3,70,3000,0.157879399
1300,1.3,70,3200,0.118881697
1300,1.3,70,3400,0.082348994
1300,1.3,70,3600,0.050938963
1300,1.3,70,3800,0.026411256
1300,1.3,70,4000,0.009899491
1300,1.4,50,2000,0.673780495
1300,1.4,50,2200,0.755742734
1300,1.4,50,2400,0.825700211
1300,1.4,50,2600,0.880797396
1300,1.4,50,2800,0.919869233
1300,1.4,50,3000,0.940816109
1300,1.4,50,3200,0.942194057
1300,1.4,50,3400,0.924657147
1300,1.4,50,3600,0.889039584
1300,1.4,50,3800,0.836361671
1300,1.4,50,4000,0.768979799
1300,1.4,52,2000,0.658796782
1300,1.4,52,2200,0.73471234
1300,1.4,52,2400,0.797047937
1300,1.4,52,2600,0.84307938
1300,1.4,52,2800,0.872607163
1300,1.4,52,3000,0.88359354
1300,1.4,52,3200,0.874573056
1300,1.4,52,3400,0.846998966
1300,1.4,52,3600,0.802367111
1300,1.4,52,3800,0.742017081
1300,1.4,52,4000,0.668764653
1300,1.4,54,2000,0.639182753
1300,1.4,54,2200,0.70717695
1300,1.4,54,2400,0.75983587
1300,1.4,54,2600,0.794523233
1300,1.4,54,2800,0.812131638
1300,1.4,54,3000,0.811007338
1300,1.4,54,3200,0.78982803
1300,1.4,54,3400,0.750839004
1300,1.4,54,3600,0.696412506
1300,1.4,54,3800,0.628480511
1300,1.4,54,4000,0.550333566
1300,1.4,56,2000,0.615816706
1300,1.4,56,2200,0.674487123
1300,1.4,56,2400,0.716134499
1300,1.4,56,2600,0.738155145
1300,1.4,56,2800,0.742573337
1300,1.4,56,3000,0.728500741
1300,1.4,56,3200,0.694987243
1300,1.4,56,3400,0.644974194
1300,1.4,56,3600,0.581808212
1300,1.4,56,3800,0.50823003
1300,1.4,56,4000,0.427966184
1300,1.4,58,2000,0.589562772
1300,1.4,58,2200,0.637963501
1300,1.4,58,2400,0.667932655
1300,1.4,58,2600,0.676863969
1300,1.4,58,2800,0.667863702
1300,1.4,58,3000,0.641166454
1300,1.4,58,3200,0.596464767
1300,1.4,58,3400,0.537267132
1300,1.4,58,3600,0.467839861
1300,1.4,58,3800,0.391808915
1300,1.4,58,4000,0.313247365
1300,1.4,60,2000,0.561248238
1300,1.4,60,2200,0.598859878
1300,1.4,60,2400,0.617065313
1300,1.4,60,2600,0.613266494
1300,1.4,60,2800,0.591525712
1300,1.4,60,3000,0.553457651
1300,1.4,60,3200,0.499659623
1300,1.4,60,3400,0.434087698
1300,1.4,60,3600,0.361731404
1300,1.4,60,3800,0.286993206
1300,1.4,60,4000,0.21413362
