lambda (nm),n,alpha (deg),f,TM
1300,1.3,40,0.38,0.707113045
1300,1.3,40,0.4,0.738344268
1300,1.3,40,0.42,0.760629776
1300,1.3,40,0.44,0.775612369
1300,1.3,40,0.46,0.785077564
1300,1.3,40,0.48,0.790628106
1300,1.3,40,0.5,0.793503278
1300,1.3,42,0.3,0.444517211
1300,1.3,42,0.32,0.502165013
1300,1.3,42,0.34,0.552200129
1300,1.3,42,0.36,0.591058761
1300,1.3,42,0.38,0.613149301
1300,1.3,42,0.4,0.598208548
1300,1.3,42,0.42,0.308229455
1300,1.3,42,0.44,0.725948275
1300,1.3,42,0.46,0.75937189
1300,1.3,42,0.48,0.756523928
1300,1.3,42,0.5,0.752422382
1300,1.3,44,0.3,0.38946204
1300,1.3,44,0.32,0.447556857
1300,1.3,44,0.34,0.500614516
1300,1.3,44,0.36,0.546559598
1300,1.3,44,0.38,0.584184296
1300,1.3,44,0.4,0.613330276
1300,1.3,44,0.42,0.634444887
1300,1.3,44,0.44,0.648776588
1300,1.3,44,0.46,0.657679009
1300,1.3,44,0.48,0.662487002
1300,1.3,44,0.5,0.664118744
1300,1.3,46,0.3,0.341926166
1300,1.3,46,0.32,0.392555946
1300,1.3,46,0.34,0.439194773
1300,1.3,46,0.36,0.480016287
1300,1.3,46,0.38,0.513819548
1300,1.3,46,0.4,0.540278318
1300,1.3,46,0.42,0.559551961
1300,1.3,46,0.44,0.572564211
1300,1.3,46,0.46,0.580350351
1300,1.3,46,0.48,0.583938605
1300,1.3,46,0.5,0.583952258
1300,1.3,48,0.3,0.294046721
1300,1.3,48,0.32,0.338233622
1300,1.3,48,0.34,0.379280357
1300,1.3,48,0.36,0.415579011
1300,1.3,48,0.38,0.445947148
1300,1.3,48,0.4,0.469902095
1300,1.3,48,0.42,0.487321886
1300,1.3,48,0.44,0.498746959
1300,1.3,48,0.46,0.504727612
1300,1.3,48,0.48,0.505592245
1300,1.3,48,0.5,0.500581011
1300,1.3,50,0.3,0.248275474
1300,1.3,50,0.32,0.286443422
1300,1.3,50,0.34,0.322300748
1300,1.3,50,0.36,0.354469546
1300,1.3,50,0.38,0.38180685
1300,1.3,50,0.4,0.403646795
1300,1.3,50,0.42,0.419480632
1300,1.3,50,0.44,0.429078221
1300,1.3,50,0.46,0.431238874
1300,1.3,50,0.48,0.420010457
1300,1.3,50,0.5,0.348326554
1300,1.4,30,0.3,0.662301923
1300,1.4,30,0.32,0.744765609
1300,1.4,30,0.34,0.814154346
1300,1.4,30,0.36,0.868414021
1300,1.4,30,0.38,0.907768601
1300,1.4,30,0.4,0.934082077
1300,1.4,30,0.42,0.950301855
